code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
SH.600900,长江电力,100,STOCK,N/A,,N/A,,N/A,N/A,2003-11-18,53141631954308,False,N/A,False,,CN_SH
SH.600901,江苏金租,100,STOCK,N/A,,N/A,,N/A,N/A,2018-03-01,75419627318661,False,N/A,False,,CN_SH
SH.600903,贵州燃气,100,STOCK,N/A,,N/A,,N/A,N/A,2017-11-07,74972950719879,False,N/A,False,,CN_SH
SH.600905,三峡能源,100,STOCK,N/A,,N/A,,N/A,N/A,2021-06-10,80496278662537,False,N/A,False,,CN_SH
SH.600906,财达证券,100,STOCK,N/A,,N/A,,N/A,N/A,2021-05-07,80423264218506,False,N/A,False,,CN_SH
SH.600908,无锡银行,100,STOCK,N/A,,N/A,,N/A,N/A,2016-09-23,1600908,False,N/A,False,,CN_SH
SH.600909,华安证券,100,STOCK,N/A,,N/A,,N/A,N/A,2016-12-06,1600909,False,N/A,False,,CN_SH
SH.600916,中国黄金,100,STOCK,N/A,,N/A,,N/A,N/A,2021-02-05,80079666834836,False,N/A,False,,CN_SH
SH.600917,重庆燃气,100,STOCK,N/A,,N/A,,N/A,N/A,2014-09-30,70188357152149,False,N/A,False,,CN_SH
SH.600918,中泰证券,100,STOCK,N/A,,N/A,,N/A,N/A,2020-06-03,78907140763030,False,N/A,False,,CN_SH
SH.600919,江苏银行,100,STOCK,N/A,,N/A,,N/A,N/A,2016-08-02,1600919,False,N/A,False,,CN_SH
SH.600925,苏能股份,100,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,83339547012509,False,N/A,False,,CN_SH
SH.600926,杭州银行,100,STOCK,N/A,,N/A,,N/A,N/A,2016-10-27,1600926,False,N/A,False,,CN_SH
SH.600927,永安期货,100,STOCK,N/A,,N/A,,N/A,N/A,2021-12-23,81368157023647,False,N/A,False,,CN_SH
SH.600928,西安银行,100,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,76922865872288,False,N/A,False,,CN_SH
SH.600929,雪天盐业,100,STOCK,N/A,,N/A,,N/A,N/A,2018-03-26,75565656206753,False,N/A,False,,CN_SH
SH.600933,爱柯迪,100,STOCK,N/A,,N/A,,N/A,N/A,2017-11-17,75024490327461,False,N/A,False,,CN_SH
SH.600935,华塑股份,100,STOCK,N/A,,N/A,,N/A,N/A,2021-11-26,81342387219879,False,N/A,False,,CN_SH
SH.600936,广西广电,100,STOCK,N/A,,N/A,,N/A,N/A,2016-08-15,1600936,False,N/A,False,,CN_SH
SH.600938,中国海油,100,STOCK,N/A,,N/A,,N/A,N/A,2022-04-21,81952272575914,False,N/A,False,,CN_SH
SH.600939,重庆建工,100,STOCK,N/A,,N/A,,N/A,N/A,2017-02-21,73770359877035,False,N/A,False,,CN_SH
SH.600941,中国移动,100,STOCK,N/A,,N/A,,N/A,N/A,2022-01-05,81492711075245,False,N/A,False,,CN_SH
SH.600955,维远股份,100,STOCK,N/A,,N/A,,N/A,N/A,2021-09-15,81015969705403,False,N/A,False,,CN_SH
SH.600956,新天绿能,100,STOCK,N/A,,N/A,,N/A,N/A,2020-06-29,79091824356796,False,N/A,False,,CN_SH
SH.600958,东方证券,100,STOCK,N/A,,N/A,,N/A,N/A,2015-03-23,70935681461694,False,N/A,False,,CN_SH
SH.600959,江苏有线,100,STOCK,N/A,,N/A,,N/A,N/A,2015-04-28,71090300284351,False,N/A,False,,CN_SH
SH.600960,渤海汽车,100,STOCK,N/A,,N/A,,N/A,N/A,2004-04-07,53747222343104,False,N/A,False,,CN_SH
SH.600961,株冶集团,100,STOCK,N/A,,N/A,,N/A,N/A,2004-08-30,54369992601025,False,N/A,False,,CN_SH
SH.600962,国投中鲁,100,STOCK,N/A,,N/A,,N/A,N/A,2004-06-22,54073639857602,False,N/A,False,,CN_SH
SH.600963,岳阳林纸,100,STOCK,N/A,,N/A,,N/A,N/A,2004-05-25,53953380773315,False,N/A,False,,CN_SH
SH.600965,福成股份,100,STOCK,N/A,,N/A,,N/A,N/A,2004-07-13,54163834170821,False,N/A,False,,CN_SH
SH.600966,博汇纸业,100,STOCK,N/A,,N/A,,N/A,N/A,2004-06-08,54013510315462,False,N/A,False,,CN_SH
SH.600967,内蒙一机,100,STOCK,N/A,,N/A,,N/A,N/A,2004-05-18,53923316002247,False,N/A,False,,CN_SH
SH.600968,海油发展,100,STOCK,N/A,,N/A,,N/A,N/A,2019-06-26,77528456261064,False,N/A,False,,CN_SH
SH.600969,郴电国际,100,STOCK,N/A,,N/A,,N/A,N/A,2004-04-08,53751517310409,False,N/A,False,,CN_SH
SH.600970,中材国际,100,STOCK,N/A,,N/A,,N/A,N/A,2005-04-12,55336360242634,False,N/A,False,,CN_SH
SH.600971,恒源煤电,100,STOCK,N/A,,N/A,,N/A,N/A,2004-08-17,54314158026187,False,N/A,False,,CN_SH
SH.600973,宝胜股份,100,STOCK,N/A,,N/A,,N/A,N/A,2004-08-02,54249733516749,False,N/A,False,,CN_SH
SH.600975,新五丰,100,STOCK,N/A,,N/A,,N/A,N/A,2004-06-09,54017805282767,False,N/A,False,,CN_SH
SH.600976,健民集团,100,STOCK,N/A,,N/A,,N/A,N/A,2004-04-19,53798761950672,False,N/A,False,,CN_SH
SH.600977,中国电影,100,STOCK,N/A,,N/A,,N/A,N/A,2016-08-09,1600977,False,N/A,False,,CN_SH
SH.600979,广安爱众,100,STOCK,N/A,,N/A,,N/A,N/A,2004-09-06,54400057372115,False,N/A,False,,CN_SH
SH.600980,北矿科技,100,STOCK,N/A,,N/A,,N/A,N/A,2004-05-12,53897546198484,False,N/A,False,,CN_SH
SH.600981,汇鸿集团,100,STOCK,N/A,,N/A,,N/A,N/A,2004-06-30,54107999595989,False,N/A,False,,CN_SH
SH.600982,宁波能源,100,STOCK,N/A,,N/A,,N/A,N/A,2004-07-06,54133769399766,False,N/A,False,,CN_SH
SH.600983,惠而浦,100,STOCK,N/A,,N/A,,N/A,N/A,2004-07-27,54223963712983,False,N/A,False,,CN_SH
SH.600984,建设机械,100,STOCK,N/A,,N/A,,N/A,N/A,2004-07-07,54138064367064,False,N/A,False,,CN_SH
SH.600985,淮北矿业,100,STOCK,N/A,,N/A,,N/A,N/A,2004-04-28,53837416656345,False,N/A,False,,CN_SH
